origin,destination,avg_weather,std_weather,avg_constraint,std_constraint
Antwerp,Shanghai,0.5296728142076503,0.37967519454158666,0.5,0.0
Busan,Rotterdam,0.5441916347275454,0.379009179224827,0.6440287285452425,0.0714462295566845
Busan,Shanghai,0.5701788834029624,0.39632035813372607,0.0,0.0
Busan,Singapore,0.5623630162940508,0.38062452980304584,0.5,0.0
Colombo,Dubai,0.6778510109968074,0.42145558520409093,1.5,0.0
Colombo,Rotterdam,0.6822904344651333,0.4314149677154873,0.40005476451259586,0.37419623155967907
Colombo,Singapore,0.6938686943620178,0.4346312430627942,0.0,0.0
Djibouti,Rotterdam,0.5241499142367066,0.3756755112259689,1.0,0.0
Dubai,Rotterdam,0.497387398739874,0.3651922654803064,0.6631863186318632,0.5967173438350851
Hamburg,Piraeus,0.5311720015426147,0.37375057046454657,0.0,0.0
Hong_Kong,Singapore,0.6386242795389049,0.4152405303707048,1.0,0.0
Karachi,Dubai,0.5577632120796157,0.3884390340196677,1.5,0.0
Karachi,Rotterdam,0.5603924093527618,0.3865272545436795,0.6,0.0
Mumbai,Busan,0.6964311016648955,0.5591882539118614,0.2,0.0
Mumbai,Colombo,0.7025788637266588,0.5561047082880228,0.0,0.0
Mumbai,Dubai,0.6979273464871842,0.5456119261126561,0.772266273280472,0.7497385315163155
Mumbai,Rotterdam,0.676677449168207,0.5445244711115083,0.4020332717190388,0.3740589063884571
Mumbai,Singapore,0.6886925351071693,0.5435123766594115,0.0,0.0
Piraeus,Rotterdam,0.44726148545176114,0.3529407954000447,0.0,0.0
Rotterdam,Dubai,0.5619462616822429,0.3787061667272387,0.8571,0.0
Shanghai,Dubai,0.5450003576537911,0.37861880041699575,0.5373927038626609,0.2747451903579217
Shanghai,Hamburg,0.5342160866477272,0.37903094386351177,0.38327773437499996,0.20186710869632374
Shanghai,Rotterdam,0.5435532305433186,0.3827706378754726,0.4006296255506608,0.1851158725629074
Shanghai,Singapore,0.5351990454304402,0.3749861439860815,0.6667,0.0
Singapore,Dubai,0.6505363766048502,0.39488370434024445,0.75,0.0
Singapore,Rotterdam,0.6406506749361547,0.3964623088647804,0.32046698285297337,0.29932832566758794
